id,nombre,codigo,estrato,id_comuna,created,updated
2221,Ciudad Cordoba,1596,3,1014,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2222,Mojica,1598,1,1014,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2223,El Morichal,1599,2,1014,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2224,Mariano Ramos,1601,2,1015,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2225,República de Israel,1602,2,1015,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2226,Unión de Vivienda Popular,1603,2,1015,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2227,Antonio Nariño,1604,2,1015,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2228,Brisas del Limonar,1605,2,1015,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2229,Vendimia,1696,NR,1015,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2230,Ciudad 2000,1697,4,1015,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2231,La Alborada,1698,3,1015,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2232,La Playa,1701,3,1016,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2233,Primero de Mayo,1702,4,1016,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
